CountyState,CountyLatLong,CountyName,State,Lat,Long
"CASCADE County ,MT","CASCADE County ,MT,47.468836,-111.545323",CASCADE County ,MT,47.468836,-111.545323
"CASEY County ,KY","CASEY County ,KY,37.315745,-84.898478",CASEY County ,KY,37.315745,-84.898478
"CASS County ,IA","CASS County ,IA,41.253807,-94.976654",CASS County ,IA,41.253807,-94.976654
"CASS County ,IL","CASS County ,IL,39.93986,-90.262004",CASS County ,IL,39.93986,-90.262004
"CASS County ,IN","CASS County ,IN,40.819909,-86.337676",CASS County ,IN,40.819909,-86.337676
"CASS County ,MI","CASS County ,MI,41.929916,-86.012157",CASS County ,MI,41.929916,-86.012157
"CASS County ,MN","CASS County ,MN,47.214454,-94.230917",CASS County ,MN,47.214454,-94.230917
"CASS County ,MO","CASS County ,MO,38.657445,-94.315422",CASS County ,MO,38.657445,-94.315422
"CASS County ,ND","CASS County ,ND,47.071168,-97.121558",CASS County ,ND,47.071168,-97.121558
"CASS County ,NE","CASS County ,NE,40.875553,-96.152699",CASS County ,NE,40.875553,-96.152699
"CASS County ,TX","CASS County ,TX,33.094434,-94.315422",CASS County ,TX,33.094434,-94.315422
"CASSIA County ,ID","CASSIA County ,ID,42.358036,-113.57285",CASSIA County ,ID,42.358036,-113.57285
"CASTRO County ,TX","CASTRO County ,TX,34.498505,-102.346387",CASTRO County ,TX,34.498505,-102.346387
"CASWELL County ,NC","CASWELL County ,NC,36.386022,-79.290213",CASWELL County ,NC,36.386022,-79.290213
"CATAHOULA County ,LA","CATAHOULA County ,LA,31.705308,-91.909924",CATAHOULA County ,LA,31.705308,-91.909924
"CATAWBA County ,NC","CATAWBA County ,NC,35.684075,-81.251883",CATAWBA County ,NC,35.684075,-81.251883
"CATOOSA County ,GA","CATOOSA County ,GA,34.898173,-85.147936",CATOOSA County ,GA,34.898173,-85.147936
"CATRON County ,NM","CATRON County ,NM,34.151517,-108.427605",CATRON County ,NM,34.151517,-108.427605
"CATTARAUGUS County ,NY","CATTARAUGUS County ,NY,42.231813,-78.747621",CATTARAUGUS County ,NY,42.231813,-78.747621
"CAVALIER County ,ND","CAVALIER County ,ND,48.810375,-98.478111",CAVALIER County ,ND,48.810375,-98.478111
"CAYUGA County ,NY","CAYUGA County ,NY,42.765523,-76.548823",CAYUGA County ,NY,42.765523,-76.548823
"CECIL County ,MD","CECIL County ,MD,39.57394,-75.946324",CECIL County ,MD,39.57394,-75.946324
